"amazon_rating";"amazon_nusers";"uri"
"4.1";"9";"http://dbpedia.org/resource/The_Tight_Connection"
"4.7";"86";"http://dbpedia.org/resource/Surtur_Rising"
"4.7";"15";"http://dbpedia.org/resource/Moonfire_(album)"
"4.6";"9";"http://dbpedia.org/resource/Love_Songs_for_Patriots"
"3.9";"142";"http://dbpedia.org/resource/Raymond_v._Raymond"
"4.7";"6";"http://dbpedia.org/resource/Everybody_Wants_to_Be_on_TV"
"4.4";"162";"http://dbpedia.org/resource/Slicker_Than_Your_Average"
"4.3";"105";"http://dbpedia.org/resource/Graffiti_(Chris_Brown_album)"
"4.4";"69";"http://dbpedia.org/resource/Invaders_Must_Die"
"3.3";"198";"http://dbpedia.org/resource/TP.3_Reloaded"
"3.6";"379";"http://dbpedia.org/resource/D12_World"
"3.2";"29";"http://dbpedia.org/resource/The_Third_Hand"
"4.2";"57";"http://dbpedia.org/resource/The_Spirit_Indestructible"
"";"";"http://dbpedia.org/resource/Simple_Plan_(album)"
"4.8";"6";"http://dbpedia.org/resource/Goodbye_Bread"
"4.2";"72";"http://dbpedia.org/resource/Fallen_Empires_(album)"
"4.3";"176";"http://dbpedia.org/resource/Figure_8_(album)"
"4.1";"385";"http://dbpedia.org/resource/Faceless"
"4.4";"45";"http://dbpedia.org/resource/American_Slang"
"4.6";"19";"http://dbpedia.org/resource/Nuclear_Daydream"
"4.4";"31";"http://dbpedia.org/resource/Grey_Oceans"
"4.3";"";"http://dbpedia.org/resource/Come_Away_with_Me"
"4.6";"21";"http://dbpedia.org/resource/The_Stage_Names"
"4.0";"686";"http://dbpedia.org/resource/Mezmerize_(album)"
"4.2";"18";"http://dbpedia.org/resource/Blue_Cathedral"
"4.6";"20";"http://dbpedia.org/resource/Time_to_Die"
"4.1";"23";"http://dbpedia.org/resource/Citrus_(album)"
"3.7";"9";"http://dbpedia.org/resource/Walk_It_Off"
"4.4";"";"http://dbpedia.org/resource/A_Rush_of_Blood_to_the_Head"
"4.7";"66";"http://dbpedia.org/resource/Alter_the_Ending"
"4.7";"337";"http://dbpedia.org/resource/Clear_as_Day"
"3.6";"36";"http://dbpedia.org/resource/Some_Loud_Thunder"
"4.5";"56";"http://dbpedia.org/resource/Celebration_Rock"
"4.3";"49";"http://dbpedia.org/resource/The_Craft_(album)"
