"URI";"discogs_have";"discogs_want"
"http://dbpedia.org/resource/The_Friends_EP";"707";"287"
"http://dbpedia.org/resource/Stade_2";"596";"372"
"http://dbpedia.org/resource/Harps_and_Angels";"238";"22"
"http://dbpedia.org/resource/The_Weirdness";"1185";"160"
"http://dbpedia.org/resource/Mic_Tyson";"756";"648"
"http://dbpedia.org/resource/Wake_Up_and_Smell_the_Coffee";"843";"239"
"http://dbpedia.org/resource/So_Beautiful_or_So_What";"978";"137"
"http://dbpedia.org/resource/Live_at_Reading";"4975";"1959"
"http://dbpedia.org/resource/The_Sophtware_Slump";"3827";"1248"
"http://dbpedia.org/resource/The_Town_and_the_City_(album)";"124";"18"
"http://dbpedia.org/resource/Paul's_Tomb:_A_Triumph";"258";"56"
"http://dbpedia.org/resource/The_Grind_Date";"2322";"1117"
"http://dbpedia.org/resource/IRM_(album)";"2011";"712"
"http://dbpedia.org/resource/The_Outsider_(DJ_Shadow_album)";"2656";"1646"
"http://dbpedia.org/resource/In_Case_You_Didn't_Know";"134";"14"
"http://dbpedia.org/resource/War_Stories_(album)";"3576";"1818"
"http://dbpedia.org/resource/Bittersweet_World";"136";"12"
"http://dbpedia.org/resource/Ya_Know%3F";"1087";"283"
"http://dbpedia.org/resource/The_Dangermen_Sessions_Vol._1";"8";"1"
"http://dbpedia.org/resource/Only_by_the_Night";"6817";"2400"
"http://dbpedia.org/resource/American_Idiot";"5441";"1938"
"http://dbpedia.org/resource/Imperial_Wax_Solvent";"782";"470"
"http://dbpedia.org/resource/Conspiracy_of_One";"2657";"1629"
"http://dbpedia.org/resource/The_Drug_in_Me_Is_You";"120";"24"
"http://dbpedia.org/resource/Offend_Maggie";"1252";"386"
"http://dbpedia.org/resource/Learning_from_Falling";"73";"8"
"http://dbpedia.org/resource/Now,_More_Than_Ever";"144";"52"
"http://dbpedia.org/resource/All_the_Plans";"212";"44"
"http://dbpedia.org/resource/Sleep_Through_the_Static";"1644";"432"
"http://dbpedia.org/resource/Take_It_to_the_Limit_(Hinder_album)";"156";"54"
"http://dbpedia.org/resource/Your_Future_Our_Clutter";"1560";"378"
"http://dbpedia.org/resource/Love_Travels_at_Illegal_Speeds";"598";"220"
"http://dbpedia.org/resource/Earth_vs._The_Pipettes";"184";"48"
"http://dbpedia.org/resource/In_the_Maybe_World";"232";"54"
"http://dbpedia.org/resource/Break_the_Cycle";"1687";"155"
"http://dbpedia.org/resource/Neon_Golden";"5388";"1568"
"http://dbpedia.org/resource/BLACKsummers'night";"460";"290"
"http://dbpedia.org/resource/White_Silence";"866";"510"
"http://dbpedia.org/resource/Watershed_(Opeth_album)";"6184";"1934"
"http://dbpedia.org/resource/Survival_of_the_Sickest_(album)";"96";"2"
"http://dbpedia.org/resource/Wild_Flag_(album)";"2004";"306"
"http://dbpedia.org/resource/Pushing_the_Senses";"928";"207"
"http://dbpedia.org/resource/No_Mundane_Options";"12";"2"
"http://dbpedia.org/resource/Townes_(album)";"1198";"182"
"http://dbpedia.org/resource/A_French_Kiss_in_the_Chaos";"134";"18"
"http://dbpedia.org/resource/Dr._No's_Ethiopium";"604";"408"
"http://dbpedia.org/resource/Blood_in_My_Eye";"348";"32"
"http://dbpedia.org/resource/An_Empty_Bliss_Beyond_This_World";"1272";"3892"
"http://dbpedia.org/resource/LCD_Soundsystem_(album)";"12039";"5783"
"http://dbpedia.org/resource/The_Color_Spectrum";"727";"1234"
"http://dbpedia.org/resource/Foundling_(album)";"194";"48"
"http://dbpedia.org/resource/Live_Like_You_Were_Dying";"50";"0"
"http://dbpedia.org/resource/You're_a_Woman,_I'm_a_Machine";"5475";"5233"
"http://dbpedia.org/resource/Time_Changes_Everything";"212";"64"
"http://dbpedia.org/resource/The_Time_of_the_Assassins";"116";"36"
"http://dbpedia.org/resource/Machine_(EP)";"0";"0"
"http://dbpedia.org/resource/Thecontrollersphere";"234";"32"
"http://dbpedia.org/resource/Strength_in_Numbers_(Calla_album)";"290";"42"
"http://dbpedia.org/resource/1991_(EP)";"22";"13"
"http://dbpedia.org/resource/Cat's_Eyes_(album)";"560";"306"
"http://dbpedia.org/resource/The_Power_of_Negative_Thinking:_B-Sides_&_Rarities";"472";"216"
"http://dbpedia.org/resource/The_Verge_(album)";"4";"1"
"http://dbpedia.org/resource/Haywire_(Josh_Turner_album)";"16";"4"
"http://dbpedia.org/resource/Only_One_Flo_(Part_1)";"0";"0"
"http://dbpedia.org/resource/The_Earth_Is_Not_a_Cold_Dead_Place";"10670";"3772"
"http://dbpedia.org/resource/Escapology_(album)";"1917";"435"
"http://dbpedia.org/resource/Something_to_Die_For";"396";"146"
"http://dbpedia.org/resource/Dusk_and_Summer";"290";"90"
"http://dbpedia.org/resource/Sugar_Mountain_%E2%80%93_Live_at_Canterbury_House_1968";"1793";"548"
"http://dbpedia.org/resource/Monkey_Business_(album)";"0";"0"
"http://dbpedia.org/resource/It_Still_Moves";"3467";"1048"
"http://dbpedia.org/resource/The_Facts_of_Life_(album)";"906";"142"
"http://dbpedia.org/resource/Nine_Types_of_Light";"3048";"580"
"http://dbpedia.org/resource/From_a_Basement_on_the_Hill";"4785";"1507"
"http://dbpedia.org/resource/Here's_the_Tender_Coming";"180";"34"
"http://dbpedia.org/resource/The_Intercontinentals";"192";"20"
"http://dbpedia.org/resource/No_Said_Date";"1045";"350"
"http://dbpedia.org/resource/Sing_Along_to_Songs_You_Don't_Know";"734";"362"
"http://dbpedia.org/resource/The_Noise_Made_by_People";"4780";"2604"
"http://dbpedia.org/resource/The_Lonely_Position_of_Neutral";"151";"30"
"http://dbpedia.org/resource/Y_Not";"258";"60"
"http://dbpedia.org/resource/Embryonic";"5344";"1741"
"http://dbpedia.org/resource/The_Sweet_Escape";"1459";"464"
"http://dbpedia.org/resource/The_Wanted_(EP)";"1";"0"
"http://dbpedia.org/resource/Charmbracelet";"842";"497"
