"id";"mb_avg_rating";"mb_n_users"
"http://dbpedia.org/resource/Body_Talk_Pt._1";"70";"2"
"http://dbpedia.org/resource/Foot_of_the_Mountain";"";""
"http://dbpedia.org/resource/Kish_Kash";"100";"1"
"http://dbpedia.org/resource/Karmacode";"80";"2"
"http://dbpedia.org/resource/The_Tight_Connection";"";""
"http://dbpedia.org/resource/White_Silence";"";""
"http://dbpedia.org/resource/Commencement_(album)";"80";"1"
"http://dbpedia.org/resource/Blue_Record";"";""
"http://dbpedia.org/resource/Splinter_(The_Offspring_album)";"80";"2"
"http://dbpedia.org/resource/Monsters_of_Folk_(album)";"";""
"http://dbpedia.org/resource/Labor_Days";"90";"2"
"http://dbpedia.org/resource/Xenophanes_(album)";"";""
"http://dbpedia.org/resource/Vehicles_&_Animals";"100";"1"
"http://dbpedia.org/resource/Mass_Romantic";"93";"3"
"http://dbpedia.org/resource/Pull_the_Pin";"";""
"http://dbpedia.org/resource/Fly_Yellow_Moon";"";""
"http://dbpedia.org/resource/A_Hyperactive_Workout_for_the_Flying_Squad";"";""
"http://dbpedia.org/resource/Go_Now_and_Live";"";""
"http://dbpedia.org/resource/You_Have_No_Idea_What_You're_Getting_Yourself_Into";"100";"1"
"http://dbpedia.org/resource/604_(album)";"";""
"http://dbpedia.org/resource/American_Slang";"";""
"http://dbpedia.org/resource/Down_the_Way";"";""
"http://dbpedia.org/resource/Cosmogramma";"90";"4"
"http://dbpedia.org/resource/Gulag_Orkestar";"90";"2"
"http://dbpedia.org/resource/American_Gangster_(album)";"60";"4"
"http://dbpedia.org/resource/Hitting_the_Ground";"";""
"http://dbpedia.org/resource/It's_Me_Again";"";""
"http://dbpedia.org/resource/The_First_of_the_Microbe_Hunters";"";""
"http://dbpedia.org/resource/Every_Man_for_Himself_(album)";"";""
"http://dbpedia.org/resource/Snakes_for_the_Divine";"";""
"http://dbpedia.org/resource/You're_a_Woman,_I'm_a_Machine";"";""
"http://dbpedia.org/resource/High_Dive";"";""
"http://dbpedia.org/resource/GhostDeini_the_Great";"";""
"http://dbpedia.org/resource/Nobody's_Daughter";"60";"1"
"http://dbpedia.org/resource/Rock_n_Roll_Jesus";"100";"1"
"http://dbpedia.org/resource/Season_of_Poison";"40";"1"
"http://dbpedia.org/resource/At_Night_We_Live";"";""
"http://dbpedia.org/resource/2000_Years_of_Human_Error";"60";"1"
"http://dbpedia.org/resource/Black_Up";"80";"1"
"http://dbpedia.org/resource/Life_on_Display";"";""
"http://dbpedia.org/resource/Offend_Maggie";"";""
"http://dbpedia.org/resource/Lines,_Vines_and_Trying_Times";"100";"1"
"http://dbpedia.org/resource/Goodbye_Lullaby";"60";"5"
"http://dbpedia.org/resource/Yoshimi_Battles_the_Pink_Robots";"87";"3"
"http://dbpedia.org/resource/Rehearsing_My_Choir";"";""
"http://dbpedia.org/resource/Option_Paralysis";"93";"3"
"http://dbpedia.org/resource/At_the_End_of_Paths_Taken";"";""
"http://dbpedia.org/resource/Psychic_Chasms";"90";"2"
"http://dbpedia.org/resource/Razorlight_(album)";"";""
"http://dbpedia.org/resource/Q_Soul_Bossa_Nostra";"";""
"http://dbpedia.org/resource/Someone_to_Drive_You_Home";"";""
"http://dbpedia.org/resource/Seasons_of_My_Soul";"";""
"http://dbpedia.org/resource/Grey_Oceans";"100";"1"
"http://dbpedia.org/resource/All_the_Plans";"80";"1"
"http://dbpedia.org/resource/Crown_Royal_(album)";"100";"1"
"http://dbpedia.org/resource/Nostalgia,_Ultra";"73";"3"
"http://dbpedia.org/resource/Under_the_Mistletoe";"100";"1"
