"";"paste";"dotmusic";"bostonglobe";"filter";"independent";"revolver";"blabbermouth";"blare";"rapreviews";"kerrang";"times";"q";"yahoo";"ign";"roughstock";"allmusic";"austinchronicle";"drownedinsound";"stylus";"slant";"usatoday";"metalhammer";"about";"americansongwriter";"djbooth";"vibe";"prefix";"phoenix";"beatsperminute";"rollingstone";"digitalspy";"e";"fly";"entertainment";"robertchristgau";"observer";"xxl";"mojo";"chicagotribune";"now";"absolutepunk";"nme";"rocksound";"noripcord";"consequenceofsound";"newyorktimes";"hotpress";"cokemachineglow";"chartattack";"popmatters";"skinny";"underradar";"hiphopdx";"melodic";"dusted";"punknews";"countryweekly";"villagevoice";"musicbox";"billboard";"thisisfakediy";"people";"blender";"uncut";"playlouder";"tinymixtapes";"clash";"guardian";"artistdirect";"dailytelegraph";"musicomh";"exclaim";"onethirtybpm";"washingtonpost";"bbc";"a";"sputnikmusic";"urb";"rollingstonealbumguide";"rockfeedback";"pitchforkmedia";"virgin";"losangelestimes";"entertainmentweekly";"msnmusic";"okayplayer";"spin";"alternativepress"
"http://dbpedia.org/resource/SuperHeavy_(album)";"";"";"";"";"0.4";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"0.2";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"0.6";"";"";"";"";"";"0.6";"";"";"";"";"";"";"0.75";"0.8";"";"";"";""
"http://dbpedia.org/resource/Welcome_to_Goon_Island";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"0.8";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Mad_for_Sadness";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.82";"";"";"";"";"";"";""
"http://dbpedia.org/resource/David_Archuleta_(album)";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"0.5";"";"";"";"";"0.75";"";"0.8";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.375";"0.75";"";"";"";""
"http://dbpedia.org/resource/Transference_(album)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"0.9";"";"";"";"";"0.78";"";"0.875";"0.9";"0.9";"";"0.7";""
"http://dbpedia.org/resource/The_Smell_of_Our_Own";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8099999999999999";"";"";"";"";"";"";""
"http://dbpedia.org/resource/Motown:_A_Journey_Through_Hitsville_USA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";""
"http://dbpedia.org/resource/Madvillainy";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.9";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.9400000000000001";"";"";"0.8";"";"";"";"1.0"
"http://dbpedia.org/resource/Yanqui_U.X.O.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"0.8500000000000001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5599999999999999";"";"";"";"";"";"0.7";""
"http://dbpedia.org/resource/Dye_It_Blonde";"0.8099999999999999";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"0.6";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";"0.89";"";"";"0.9";"";"";"";"";"0.8400000000000001";"";"";"";"";"";"0.9";""
